id,name,startnum,elo,prediction
97196,Matthew Mcelroy,1.0,1409.98326262164,1.0
11001,Gábor Faldum,2.0,1276.60071305279,2.0
74419,Alberto Gonzalez Garcia,15.0,1264.40568206676,3.0
83434,Ben Dijkstra,33.0,1260.86753153448,4.0
74423,Jack Willis,20.0,1259.44877636718,5.0
11162,Rostislav Pevtsov,11.0,1255.61787694047,6.0
88205,Samuel Dickinson,9.0,1253.58123915568,7.0
31810,Jumpei Furuya,5.0,1243.06498111267,8.0
98252,Johannes Vogel,8.0,1231.03318423109,9.0
98121,Ricardo Batista,4.0,1227.97111653762,10.0
71340,Noah Servais,28.0,1207.11441324457,11.0
80663,Darr Smith,14.0,1191.04798441049,12.0
90031,Ren Sato,3.0,1181.50338276374,13.0
103530,Aram Michell Peñaflor Moysen,16.0,1173.2713362101,14.0
23656,Felix Duchampt,17.0,1171.87468137292,15.0
63564,Maxime Hueber-Moosbrugger,41.0,1160.84330304276,16.0
93402,Martin Sobey,25.0,1154.75535061608,17.0
83054,Leon Pauger,12.0,1154.33333194048,18.0
42996,Erwin Vanderplancke,31.0,1149.26708539392,19.0
55504,Matthew Roberts,19.0,1145.2784948214,20.0
103124,Harry Leleu,18.0,1145.098515197,21.0
110784,Aoba Yasumatsu,6.0,1143.8972678219,22.0
41831,Gregor Payet,37.0,1141.93263787463,23.0
106578,Nicolò Strada,24.0,1123.25801204996,24.0
122645,Kyotaro Yoshikawa,40.0,1117.83265854784,25.0
51350,Jorik Van Egdom,50.0,1109.00753546111,26.0
94563,Tjebbe Kaindl,23.0,1100.73835864052,27.0
103258,Liam Donnelly,32.0,1098.42458388118,28.0
52514,Brent Demarest,10.0,1094.67341294768,29.0
30485,Bob Haller,21.0,1091.38677828489,30.0
104247,Genta Uchida,7.0,1085.4948685261,31.0
125294,Connor Bentley,52.0,1081.01251358151,32.0
49084,Lukas Pertl,51.0,1078.36915208826,33.0
112859,Oscar Dart,39.0,1073.77109987374,34.0
135049,Mitch Kolkman,45.0,1073.24760540432,35.0
106431,Vitalii Vorontsov,29.0,1060.80189085138,36.0
80831,Kye Wylde,44.0,1057.96845436008,37.0
74435,Philip Pertl,46.0,1043.19581812417,38.0
69440,Diego Alfredo Perez Flores,26.0,1036.79090618228,39.0
75822,Michał Oliwa,34.0,1034.16724773533,40.0
124067,Marcin Stanglewicz,35.0,1029.73144481069,41.0
18332,Carlos Javier Quinchara Forero,22.0,1024.08585655419,42.0
103764,Itamar Eshed,57.0,1014.67815661462,43.0
39201,Fabian Villanueva Moehl,47.0,1013.14655461815,44.0
108522,Jorge Alarcon Familiar,43.0,1010.9319567426,45.0
41102,Martin Demuth,38.0,1006.96192453512,46.0
140793,Nathan Lessmann,56.0,1005.13800495351,47.0
123682,Maciej Bruzdziak,42.0,1004.25800368622,48.0
44608,Roee Zuaretz,55.0,998.064205395712,49.0
106582,Sergiy Polikarpenko,49.0,997.175153798357,50.0
49284,Donald Hillebregt,48.0,997.080545539065,51.0
116727,Itamar Shevach Levanon,53.0,984.256977147276,52.0
12749,Ji Hwan Kim,59.0,979.933178314594,53.0
85863,Badr Siwane,30.0,978.604569422132,54.0
136592,Chanho Park,68.0,976.826482584111,55.0
49260,Nan Oliveras,54.0,972.160499626752,56.0
124593,Chan Uk Park,62.0,969.776168837034,57.0
162674,Juyoung Kim,67.0,965.759753946084,58.0
118188,Seongsik Kim,69.0,963.890071974939,59.0
95454,Wan Hyuk Kim,64.0,962.928771655776,60.0
124594,Jaehyeon Jo,65.0,935.34608845401,61.0
118190,Minho Kweon,60.0,931.425740162352,62.0
106994,Aleksandr Kurishov,36.0,930.746734680039,63.0
97206,Kwangjun Pak,63.0,919.891560230195,64.0
135110,Fernando José Casares Tan,61.0,893.565356514791,65.0
